Time,Open,High,Low,Last,Change,Volume,Open Int
6/18/2020 22:40,10001.75,10007.25,10001.75,10005.75,4.25,154,N/A
6/18/2020 22:35,9999,10002,9997.75,10001.5,2,116,N/A
6/18/2020 22:30,10000,10004.75,9997.75,9999.5,0.5,221,N/A
6/18/2020 22:25,10006.5,10006.5,9997.25,9999,-7.5,293,N/A
6/18/2020 22:20,10007.75,10010.25,10006.25,10006.5,-0.75,132,N/A
6/18/2020 22:15,10008.5,10010.75,10006.25,10007.25,-1.25,104,N/A
6/18/2020 22:10,10008.75,10009.75,10004.75,10008.5,1,98,N/A
6/18/2020 22:05,10007.5,10010.5,10001.5,10007.5,1,228,N/A
6/18/2020 22:00,10010.75,10012.75,10005,10006.5,-3.5,246,N/A
6/18/2020 21:55,10010.5,10012.75,10007,10010,-0.25,208,N/A
6/18/2020 21:50,10006,10012.25,10005,10010.25,5.5,248,N/A
6/18/2020 21:45,10006,10008.5,10003.75,10004.75,-1.25,117,N/A
6/18/2020 21:40,10005.25,10009,10002.75,10006,0.75,314,N/A
6/18/2020 21:35,10009,10011,10004.75,10005.25,-3.5,334,N/A
6/18/2020 21:30,10003.75,10008.75,10002,10008.75,6,354,N/A
6/18/2020 21:25,9995,10006.75,9992,10002.75,7.75,607,N/A
6/18/2020 21:20,10001.75,10002.5,9994.5,9995,-6.25,314,N/A
6/18/2020 21:15,10000.5,10002.25,9998.25,10001.25,1.25,247,N/A
6/18/2020 21:10,9996.75,10000.75,9996.25,10000,3,201,N/A
6/18/2020 21:05,9996.75,10001,9991.5,9997,-0.25,326,N/A
6/18/2020 21:00,9996,9999.5,9993.75,9997.25,0.5,298,N/A
6/18/2020 20:55,10001.75,10005.5,9993.75,9996.75,-6,428,N/A
6/18/2020 20:50,10008,10008.5,10000.75,10002.75,-4.75,322,N/A
6/18/2020 20:45,10007.25,10013,10004.75,10007.5,0,432,N/A
6/18/2020 20:40,10010.25,10011.25,10005.25,10007.5,-2.5,343,N/A
6/18/2020 20:35,10002.25,10011.25,10000.25,10010,9.25,521,N/A
6/18/2020 20:30,9997,10003.25,9990.75,10000.75,5,488,N/A
6/18/2020 20:25,9995.25,9999.75,9993.25,9995.75,0.5,280,N/A
6/18/2020 20:20,9992,9996.25,9991.5,9995.25,2.75,333,N/A
6/18/2020 20:15,9982.5,9994.75,9982,9992.5,9.75,514,N/A
6/18/2020 20:10,9987,9989,9981.75,9982.75,-5.75,278,N/A
6/18/2020 20:05,9996.5,9997.25,9983.75,9988.5,-7.25,574,N/A
6/18/2020 20:00,9998.5,10003.5,9990.25,9995.75,-3,482,N/A
6/18/2020 19:55,10000.5,10003,9998.5,9998.75,-1.25,276,N/A
6/18/2020 19:50,9994.75,10001.25,9994.25,10000,7,441,N/A
6/18/2020 19:45,9997.75,9999.75,9989.5,9993,-3.75,520,N/A
6/18/2020 19:40,9995,10001.5,9992.5,9996.75,2.25,470,N/A
